Crawley	Laura	Moffatt	Labour	http://www.lauramoffattmp.co.uk
Crewe & Nantwich	Gwyneth	Dunwoody	Labour	http://www.gwynethdunwoody.co.uk/
Crosby	Claire	Curtis-Thomas	Labour	http://www.cctmp.com
Croydon Central	Geraint	Davies	Labour	http://www.geraintdaviesmp.org.uk
Croydon North	Malcolm	Wicks	Labour	http://www.malcolmwicks.labour.co.uk
Croydon South	Richard	Ottaway	Con	http://www.richardottaway.com
Cumbernauld & Kilsyth	Rosemary	McKenna	Labour	http://www.rosemarymckenna.labour.co.uk
Cunninghame North	Brian	Wilson	Labour	
Cunninghame South	Brian H.	Donohoe	Labour	http://www.epolitix.com/webminster/brian-donohoe
Cynon Valley	Ann	Clwyd	Labour	
Dagenham	Jon	Cruddas	Labour	
Darlington	Alan	Milburn	Labour	http://www.alanmilburn.co.uk
Dartford	Howard	Stoate	Labour	http://www.howardstoate.com
Daventry	Tim	Boswell	Con	
Delyn	David	Hanson	Labour	http://www.delynmp.org.uk
Denton & Reddish	Andrew	Bennett	Labour	http://www.poptel.org.uk/andrew.bennett/index.html
Derby North	Bob	Laxton	Labour	http://www.boblaxton.org.uk
Derby South	Margaret	Beckett	Labour	http://www.epolitix.com/webminster/margaret-beckett
Devizes	Michael	Ancram	Con	http://www.michaelancram.com
Dewsbury	Ann	Taylor	Labour	
Don Valley	Caroline	Flint	Labour	http://www.carolineflint.co.uk
Doncaster Central	Rosie	Winterton	Labour	http://www.epolitix.com/webminster/rosie-winterton
Doncaster North	Kevin	Hughes	Labour	http://www.doncasternorth.co.uk
Dover	Gwyn	Prosser	Labour	http://www.gwynprosser.com
Dudley North	Ross	Cranston	Labour	http://www.rosscranston.labour.co.uk/
Dudley South	Ian	Pearson	Labour	http://www.ianpearson.org.uk
Dulwich & West Norwood	Tessa	Jowell	Labour	
Dumbarton	John	McFall	Labour	http://www.epolitix.com/webminster/john-mcfall
Dumfries	Russell	Brown	Labour	http://www.russellbrown.labour.co.uk
Dundee East	Iain	Luke	Labour	http://www.iainluke.org.uk
Dundee West	Ernie	Ross	Labour	http://www.epolitix.com/webminster/ernie-ross
Dunfermline East	Gordon	Brown	Labour	
Dunfermline West	Rachel	Squire	Labour	
Durham, City of	Gerry	Steinberg	Labour	http://www.gerry-steinberg.org.uk
Ealing Acton & Shepherd's Bush	Clive	Soley	Labour	http://clivesoleymp.typepad.com/clive_soley_mp/
Ealing North	Stephen	Pound	Labour	http://www.stevepound.org.uk
Ealing Southall	Piara S	Khabra	Labour	
Easington	John	Cummings	Labour	
East Antrim	Roy	Beggs	UU	http://www.roybeggsmp.com
