9634, 2.67
8889, 0.86
5049, 1.72
4035, 1.85
7973, 0.96
5994, 0.58
9965, 1.88
12464, 0.81
3487, 2.07
8798, 0.76
5766, 0.45
10627, 0.50
5374, 0.36
10850, 1.83
11787, 10.41
6139, 0.00
9037, 3.38
3587, 0.90
9188, 1.13
3168, 1.34
17630, 0.00
12608, 0.48
3928, 1.75
800, 2.28
13779, 0.00
4682, 1.18
